# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
    1      0      0      0      0      0      0  10501   2745      0      0 
    1     89    100      0      0      0      0  10501   2745      1      0 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      0 
    1    100    100      0      0      0      0  10501   2745      2      0 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      2      0 
    1     99    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      0 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      2      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1     94    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      2      1 
    1     98    100      0      0      0      0  10501   2745      1      0 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      2      0 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      2      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      0 
    1    100    100      0      0      0      0  10501   2745      2      1 
    1    100    100      0      0      0      0  10501   2745      2      0 
